assembler,type_input_data,type_ref_data,MaxContigLength
ARC,genome,full_COI_Bpul,1780
ARC,genome,full_COI_Ecy,1155
ARC,genome,full_COI_EveS_EveS,5172
ARC,genome,full_COI_Eve_Eve,1524
ARC,genome,full_mt_genom_Bpul,15608
ARC,genome,full_mt_genom_Bpul_Eve,6192
ARC,genome,full_mt_genom_Ecy,3370
ARC,genome,full_mt_genom_Eve,4994
ARC,genome,full_mt_genom_EveS_EveS,9975
ARC,genome,full_mt_genom_Eve_Ecy,3254
ARC,genome,full_mt_genom_Eve_Eve,9794
ARC,genome,part_COI_Bpul,4622
ARC,genome,part_COI_Ecy,1591
ARC,genome,part_COI_EveS_EveS,4625
ARC,genome,part_COI_Eve_Eve,4424
ARC,genome_10p,full_COI_Ecy,2666
ARC,genome_10p,full_mt_genom_Ecy,5444
ARC,genome_10p,full_mt_genom_Eve,4762
ARC,genome_10p,part_COI_Ecy,2603
ARC,genome_16p,full_COI_Ecy,1404
ARC,genome_16p,full_mt_genom_Ecy,5528
ARC,genome_16p,full_mt_genom_Eve,5528
ARC,genome_16p,part_COI_Ecy,2078
ARC,genome_3x,full_COI_Bpul,7815
ARC,genome_3x,full_COI_Ecy,1451
ARC,genome_3x,full_mt_genom_Bpul,15838
ARC,genome_3x,full_mt_genom_Bpul_Eve,4703
ARC,genome_3x,full_mt_genom_Ecy,5069
ARC,genome_3x,full_mt_genom_Eve,5141
ARC,genome_3x,part_COI_Bpul,7414
ARC,genome_3x,part_COI_Ecy,1451
ARC,genome_NCBI,full_COI_Ecy,2483
ARC,genome_NCBI,full_mt_genom_Ecy,2006
ARC,genome_NCBI,full_mt_genom_Eve,12157
ARC,genome_NCBI,part_COI_Ecy,1705
ARC,genome_NCBI_50p,full_COI_Ecy,4159
ARC,genome_NCBI_50p,full_mt_genom_Ecy,15278
ARC,genome_NCBI_50p,full_mt_genom_Eve,15581
ARC,genome_NCBI_50p,part_COI_Ecy,4208
ARC,transcriptome,full_COI_Ecy,2698
ARC,transcriptome,full_mt_genom_Eve,3459
ARC,transcriptome,part_COI_Ecy,1734
ARC,transcriptome,part_COI_Eve_Eve,1107
ARC,transcriptome_10p,full_COI_Ecy,5558
ARC,transcriptome_10p,full_mt_genom_Ecy,5340
ARC,transcriptome_10p,full_mt_genom_Eve,6393
ARC,transcriptome_10p,part_COI_Ecy,5302
ARC,transcriptome_1p,full_COI_Ecy,2290
ARC,transcriptome_1p,full_mt_genom_Ecy,3668
ARC,transcriptome_1p,full_mt_genom_Eve,3668
ARC,transcriptome_1p,part_COI_Ecy,2290
Getorganel,genome,full_COI_Bpul,15634
Getorganel,genome,full_COI_Ecy,2838
Getorganel,genome,full_COI_EveS_EveS,2643
Getorganel,genome,full_COI_Eve_Eve,3459
Getorganel,genome,full_mt_genom_Bpul,15727
Getorganel,genome,full_mt_genom_Ecy,10882
Getorganel,genome,full_mt_genom_Eve,9433
Getorganel,genome,full_mt_genom_EveS_Ecy,2346
Getorganel,genome,full_mt_genom_EveS_EveS,9869
Getorganel,genome,full_mt_genom_Eve_Ecy,2346
Getorganel,genome,full_mt_genom_Eve_Eve,8917
Getorganel,genome,part_COI_Bpul,15634
Getorganel,genome,part_COI_Ecy,2838
Getorganel,genome,part_COI_EveS_EveS,7512
Getorganel,genome,part_COI_Eve_Eve,9012
Getorganel,genome_10p,full_COI_Ecy,2666
Getorganel,genome_10p,full_mt_genom_Ecy,5444
Getorganel,genome_10p,full_mt_genom_Eve,4826
Getorganel,genome_10p,part_COI_Ecy,2666
Getorganel,genome_16p,full_COI_Ecy,4097
Getorganel,genome_16p,full_mt_genom_Ecy,5528
Getorganel,genome_16p,full_mt_genom_Eve,5528
Getorganel,genome_16p,part_COI_Ecy,4113
