Path;Path_Duplicate;Gene_Count
genome_3x;full_mt_genom_Bpul;15
genome_3x;part_COI_Bpul;15
genome_3x;full_COI_Bpul;15
transcriptome;full_mt_genom_Bpul;13
genome_10p;full_mt_genom_Ecy;13
genome_16p;full_mt_genom_Ecy;12
genome_3x;full_mt_genom_Ecy;14
genome;full_mt_genom_Ecy;14
genome_NCBI_50p;full_mt_genom_Ecy;15
genome_NCBI;full_mt_genom_Ecy;15
genome_our_rna;full_mt_genom_Ecy;2
transcriptome;full_mt_genom_Ecy;13
genome_10p;part_COI_Ecy;3
transcriptome_10p;part_COI_Ecy;0
genome_16p;part_COI_Ecy;4
transcriptome_1p;part_COI_Ecy;1
genome_3x;part_COI_Ecy;4
genome;part_COI_Ecy;3
genome_10p;full_COI_Ecy;3
transcriptome_10p;full_COI_Ecy;1
genome_16p;full_COI_Ecy;4
transcriptome_1p;full_COI_Ecy;0
genome_3x;full_COI_Ecy;3
genome;full_COI_Ecy;3
genome_NCBI_50p;full_COI_Ecy;15
genome_NCBI;full_COI_Ecy;15
genome_our_rna;full_COI_Ecy;0
transcriptome;full_COI_Ecy;1
genome_NCBI_50p;part_COI_Ecy;15
genome_NCBI;part_COI_Ecy;15
genome_our_rna;part_COI_Ecy;0
transcriptome;part_COI_Ecy;1
genome_10p;full_mt_genom_Eve;10
genome_16p;full_mt_genom_Eve;12
transcriptome_1p;full_mt_genom_Eve;0
genome_3x;full_mt_genom_Eve;12
genome;part_COI_Eve_Eve;9
genome;full_COI_Eve_Eve;3
transcriptome;part_COI_Eve_Eve;1
genome;full_mt_genom_Eve;13
genome;full_mt_genom_Eve_Ecy;6
genome;full_mt_genom_Eve_Ecy;0
genome;full_mt_genom_Eve_Eve;14
transcriptome;full_mt_genom_Eve_Eve;0
genome_NCBI_50p;full_mt_genom_Eve;15
genome_NCBI;full_mt_genom_Eve;15
genome_our_rna;full_mt_genom_Eve;0
transcriptome;full_mt_genom_Eve;0
genome;part_COI_EveS_EveS;7
genome;full_COI_EveS_EveS;2
genome;full_mt_genom_EveS_Ecy;6
genome;full_mt_genom_EveS_EveS;15
transcriptome;full_mt_genom_EveS_EveS;0
