Path;Path_Duplicate;Gene_Count
genome_3x;full_mt_genom_Bpul;15
genome_3x;part_COI_Bpul;1
genome_3x;full_mt_genom_Bpul_Eve;0
transcriptome;full_mt_genom_Bpul;14
genome_3x;full_mt_genom_Ecy;14
genome_3x;part_COI_Ecy;1
genome_3x;full_mt_genom_Eve;14
genome;full_COI_Eve_Eve;1
genome;part_COI_Eve_Eve;1
transcriptome;part_COI_Eve_Eve;1
genome;full_mt_genom_Eve_Ecy;15
genome;full_mt_genom_Eve_Ecy;13
genome;full_mt_genom_Eve_Eve;15
transcriptome;full_mt_genom_Eve_Eve;15
genome;full_COI_EveS_EveS;1
genome;part_COI_EveS_EveS;1
genome;full_mt_genom_EveS_EveS;15
transcriptome;full_mt_genom_EveS_EveS;15
