Path;Path_Duplicate;Gene_Count
genome_3x;full_mt_genom_Bpul;15
genome_3x;part_COI_Bpul;15
genome_3x;full_COI_Bpul;15
genome_3x;full_mt_genom_Bpul_Eve;0
transcriptome;full_mt_genom_Bpul;13
genome_3x;full_mt_genom_Ecy;15
genome_3x;part_COI_Ecy;4
genome_3x;full_COI_Ecy;4
genome_NCBI_50p;full_COI_Ecy;15
genome_NCBI_50p;part_COI_Ecy;15
genome_3x;full_mt_genom_Eve;15
genome;full_COI_Eve_Eve;10
genome;part_COI_Eve_Eve;9
genome;full_mt_genom_Eve_Ecy;15
genome;full_mt_genom_Eve_Eve;15
genome;full_mt_genom_Eve_Eve;15
genome;full_COI_EveS_EveS;9
genome;part_COI_EveS_EveS;10
genome;full_mt_genom_EveS_Ecy;15
genome;full_mt_genom_EveS_EveS;15
