Path;Path_Duplicate;Gene_Count
genome_3x;full_mt_genom_Bpul;15
genome_3x;part_COI_Bpul;8
genome_3x;full_COI_Bpul;8
genome_3x;full_mt_genom_Bpul_Eve;10
genome_3x;full_mt_genom_Ecy;0
genome_3x;part_COI_Ecy;0
genome_3x;full_COI_Ecy;0
genome_3x;full_mt_genom_Eve;14
genome;part_COI_Eve_Eve;5
genome;full_COI_Eve_Eve;1
transcriptome;part_COI_Eve_Eve;0
genome;full_mt_genom_Eve_Ecy;13
genome;full_mt_genom_Eve_Eve;15
genome;part_COI_EveS_EveS;5
genome;full_COI_EveS_EveS;6
genome;full_mt_genom_EveS_EveS;15
transcriptome;full_mt_genom_EveS_EveS;0
