,assembler,type_input_data,type_ref_data,Contigs/scaffolds,Time_min,ContigLength/ScaffoldsLenght,Assembly_length,max_memory_vsz_mb,max_memory_rss_mb,path_ref,script,name_script,path_config_file,Comment,min_fot_score,lenght_ref,ref_vs_qry,qry_vs_ref,X19,Score,Secondary_title,Species,Gene_Count
1,ARC,genome,full_COI_Bpul,625,48.25,69793,NA,915.419999999999959,217.97999999999999,NA,NA,NA,NA,NA,0.241693708330451,16284,0.238195043767723,0.0575702434341553,NA,0.134764748883082,NA,B. pullus,NA
2,ARC,genome,full_COI_Ecy,4319,47.966666666666697,675000,0,1080.88000000000011,999.889999999999986,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.02283631913852,14370,0.221155184411969,0.00505037037037037,NA,0.062318352249606,Pool animals,E. cyaneus,1
3,ARC,genome,full_COI_EveS,5,49.7833299999999994,6903,NA,925.440000000000055,185.870000000000005,NA,NA,NA,NA,S by W,0.442471636433562,15601,0.330235241330684,0.746342170070984,NA,0.429762261958808,NA,NA,NA
4,ARC,genome,full_mt_genom_Bpul,57,157.150000000000006,23378,NA,929.730000000000018,507.810000000000002,NA,NA,NA,NA,NA,0.696552314141501,16284,0.955354949643822,0.665454701000941,NA,0.583726456108845,NA,B. pullus,NA
5,ARC,genome,full_mt_genom_Bpul_Eve,67,36.7333300000000023,26595,NA,918.409999999999968,140.030000000000001,NA,NA,NA,NA,NA,0.615972492454628,16284,0.575761311798792,0.354653130287648,NA,0.39032807691885,NA,B. pullus,NA
6,ARC,genome,full_mt_genom_Ecy,3481,95.8166666666667055,604027,0,1100.88000000000011,1032.5,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.026961912731312,14370,0.963604732080724,0.0259806266938398,NA,0.254208636319448,Pool animals,E. cyaneus,10
7,ARC,genome,full_mt_genom_Eve,791,411.783333333333019,127871,0,1373.09999999999991,1293.1400000000001,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.119032531527898,14370,0.991997216423104,0.11807993993947,NA,0.307593477598408,Pool animals,E. cyaneus,12
8,ARC,genome,full_mt_genom_EveS_Ecy,50,713.883299999999963,23394,NA,1863.36999999999989,1826.96000000000004,NA,NA,NA,NA,S by W,0.667855051371145,15601,0.789436574578553,0.52722920406942,NA,0.50113020750478,NA,NA,13
9,ARC,genome,full_mt_genom_EveS_EveS,26,636.666699999999992,20619,NA,2001.50999999999999,1847.63000000000011,NA,NA,NA,NA,S by W,0.756632232407003,15601,0.931030062175502,0.704447354381881,NA,0.60764279685648,NA,NA,15
10,ARC,genome,part_COI_Bpul,205,171.300000000000011,32642,NA,910,453.389999999999986,NA,NA,NA,NA,NA,0.496967097604313,16284,0.262667981753175,0.130537344525458,NA,0.223762618165859,NA,B. pullus,NA
11,ARC,genome,part_COI_Ecy,10,60.25,6989,0,904.130000000000109,247.27000000000001,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.463645295425811,14370,0.328114126652749,0.707683502647017,NA,0.399860731181395,Pool animals,E. cyaneus,4
12,ARC,genome,part_COI_EveS,2,48.6000000000000014,4928,NA,924.42999999999995,116.159999999999997,NA,NA,NA,NA,S by W,0.315877187359785,15601,0.29517338632139,0.934456168831169,NA,0.511376685628088,NA,NA,5
13,ARC,genome_10p,full_COI_Ecy,1,5.43333300000000019,2666,0,909.909999999999968,130.539999999999992,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.185525400139179,14370,0.179123173277662,0.965491372843211,NA,0.582534986565013,Pool animals,E. cyaneus,NA
14,ARC,genome_10p,full_mt_genom_Ecy,6,2.76666699999999999,13704,0,924.649999999999977,160.030000000000001,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.95365344467641,14370,0.943006263048017,0.988835376532399,NA,0.763040437730875,Pool animals,E. cyaneus,14
15,ARC,genome_10p,full_mt_genom_Eve,9,5.38333300000000037,13965,0,912.909999999999968,198.25,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.971816283924843,14370,0.895546276965901,0.921518080916577,NA,0.724997938229608,Pool animals,E. cyaneus,NA
