Path;Path_Duplicate;Gene_Count
genome_3x;full_mt_genom_Bpul;15
genome_3x;part_COI_Bpul;15
genome_3x;full_COI_Bpul;15
transcriptome;full_mt_genom_Bpul;2
genome_10p;full_mt_genom_Ecy;3
genome_16p;full_mt_genom_Ecy;3
genome_3x;full_mt_genom_Ecy;4
genome;full_mt_genom_Ecy;4
genome_NCBI_50p;full_mt_genom_Ecy;15
genome_NCBI;full_mt_genom_Ecy;15
genome_our_rna;full_mt_genom_Ecy;1
transcriptome;full_mt_genom_Ecy;2
genome_10p;part_COI_Ecy;3
genome_16p;part_COI_Ecy;3
genome_3x;part_COI_Ecy;4
genome;part_COI_Ecy;4
genome_10p;full_COI_Ecy;3
genome_16p;full_COI_Ecy;3
genome_3x;full_COI_Ecy;4
genome;full_COI_Ecy;4
genome_NCBI_50p;full_COI_Ecy;15
genome_NCBI;full_COI_Ecy;15
genome_our_rna;full_COI_Ecy;1
transcriptome;full_COI_Ecy;2
genome_NCBI_50p;part_COI_Ecy;15
genome_NCBI;part_COI_Ecy;15
genome_our_rna;part_COI_Ecy;1
transcriptome;part_COI_Ecy;2
genome_10p;full_mt_genom_Eve;4
genome_16p;full_mt_genom_Eve;4
genome_3x;full_mt_genom_Eve;4
genome;part_COI_Eve_Eve;3
genome;full_COI_Eve_Eve;0
transcriptome;part_COI_Eve_Eve;0
transcriptome;part_COI_Eve_Eve;0
genome;full_mt_genom_Eve_Ecy;8
genome;full_mt_genom_Eve_Ecy;0
genome;full_mt_genom_Eve_Eve;0
transcriptome;full_mt_genom_Eve_Eve;0
genome;full_mt_genom_Eve;4
genome_NCBI_50p;full_mt_genom_Eve;15
genome_NCBI;full_mt_genom_Eve;15
genome_our_rna;full_mt_genom_Eve;0
transcriptome;full_mt_genom_Eve;1
genome;part_COI_EveS_EveS;3
genome;full_COI_EveS_EveS;3
genome;full_mt_genom_EveS_Ecy;8
genome;full_mt_genom_EveS_EveS;0
transcriptome;full_mt_genom_EveS_EveS;0
